,0
2019-06-25,0.0
2019-06-26,0.07664999999995104
2019-06-27,0.07139999999995617
2019-06-28,4.249908625000012
2019-06-29,3.662300149999888
2019-06-30,0.6461697499999968
2019-07-01,0.4413578250000256
2019-07-02,0.3259673500000364
2019-07-03,2.81377122500003
2019-07-04,21.217662425000093
2019-07-05,55.943355024997764
2019-07-06,157.19117987520428
2019-07-07,9.654260300000745
2019-07-08,103.64606102507094
2019-07-09,142.91584035016137
2019-07-10,111.1397015750852
2019-07-11,16.65532012500013
2019-07-12,15.934834250001261
2019-07-13,18.302351974998928
2019-07-14,17.169727300000638
2019-07-15,21.891489175000025
2019-07-16,18.204960700000875
2019-07-17,21.83449127499997
2019-07-18,24.028113274999804
2019-07-19,24.858824274998632
2019-07-20,21.07690415000004
2019-07-21,22.106325474999707
2019-07-22,24.73166617499654
2019-07-23,31.362548624993984
2019-07-24,26.748100899995848
2019-07-25,8.925591800000282
2019-07-26,15.229434674999657
2019-07-27,18.331583075000637
2019-07-28,16.648287825001354
2019-07-29,26.59209734999765
2019-07-30,19.941943125000442
2019-07-31,33.73485342499206
