,NetMarble,Ground X,Kakao Corp,Hashed-Ozys,Kakao Games,Post Voyager (cocone),Kakao Pay,Everrich,Kakao Entertainment,Neoply,Wemade,Hashkey,Celltrion,FSN,Kakao Space,LX International,LG Electronics,Ahnlab,Verichains/VNG,SK Networks,Gumi,GS Retail,Amorepacific,Pearl Abyss,UBP,Hanwha Systems,Korea Economic Daily,Yeahmobi,Worldpay,Maekyung Media Group,Binance,MakerDAO,Hi Inc,PUBG,Kracker Labs,Alameda Research,Total
2019-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26,4522,4529,4525,0,4516,4522,4527,4523,4530,4529,4525,4524,4522,4523,4521,4481,4572,0,0,0,0,0,0,0,4527,0,0,0,0,0,0,0,4527,4527,0,0,85972
2019-06-27,4550,4550,4544,0,4548,4550,4546,4547,4549,4547,4546,4545,4547,4551,4544,4548,4548,0,0,0,0,0,0,0,4545,0,0,0,0,0,0,0,4547,4548,0,0,86400
2019-06-28,4548,4546,4550,0,4544,4547,4547,4545,4547,4547,4548,4545,4545,4542,4549,4553,4550,0,0,0,0,0,0,0,4550,0,0,0,0,0,0,0,4548,4549,0,0,86400
2019-06-29,4546,4552,4546,0,4542,4543,4549,4548,4550,4546,4544,4549,4544,4551,4546,4551,4548,0,0,0,0,0,0,0,4544,0,0,0,0,0,0,0,4553,4548,0,0,86400
2019-06-30,4547,4543,4544,0,4545,4547,4547,4550,4553,4545,4542,4551,4551,4544,4550,4549,4547,0,0,0,0,0,0,0,4550,0,0,0,0,0,0,0,4547,4548,0,0,86400
2019-07-01,4544,4547,4545,0,4546,4550,4548,4548,4551,4545,4547,4543,4546,4550,4551,4546,4545,0,0,0,0,0,0,0,4548,0,0,0,0,0,0,0,4551,4549,0,0,86400
2019-07-02,4551,4547,4551,0,4545,4548,4547,4549,4548,4546,4546,4543,4544,4551,4545,4550,4549,0,0,0,0,0,0,0,4543,0,0,0,0,0,0,0,4551,4546,0,0,86400
2019-07-03,4549,4547,4550,0,4543,4547,4544,4543,4543,4549,4547,4551,4548,4546,4548,4551,4550,0,0,0,0,0,0,0,4552,0,0,0,0,0,0,0,4543,4549,0,0,86400
2019-07-04,4542,4551,4548,0,4550,4548,4547,4551,4547,4548,4544,4548,4547,4544,4548,4546,4548,0,0,0,0,0,0,0,4547,0,0,0,0,0,0,0,4546,4550,0,0,86400
2019-07-05,6266,5052,4276,0,5490,4936,4275,4718,4271,4390,4268,4273,4272,4269,4274,4270,4278,0,0,0,0,0,0,0,4274,0,0,0,0,0,0,0,4274,4274,0,0,86400
2019-07-06,17456,8316,2489,0,11602,7492,2493,5806,2496,3330,2486,2493,2491,2486,2497,2494,2486,0,0,0,0,0,0,0,2498,0,0,0,0,0,0,0,2493,2496,0,0,86400
2019-07-07,17473,8304,2490,0,11614,7474,2492,5814,2496,3328,2488,2492,2488,2494,2490,2489,2491,0,0,0,0,0,0,0,2495,0,0,0,0,0,0,0,2493,2495,0,0,86400
2019-07-08,17455,8302,2502,0,11605,7481,2494,5812,2495,3328,2492,2492,2484,2490,2487,2495,2505,0,0,0,0,0,0,0,2495,0,0,0,0,0,0,0,2494,2492,0,0,86400
2019-07-09,17462,8317,2486,0,11626,7473,2494,5821,2504,3325,2491,2497,2489,2486,2483,2495,2485,0,0,0,0,0,0,0,2487,0,0,0,0,0,0,0,2493,2486,0,0,86400
2019-07-10,17463,8316,2492,0,11609,7474,2488,5813,2501,3336,2486,2494,2493,2487,2491,2490,2491,0,0,0,0,0,0,0,2495,0,0,0,0,0,0,0,2491,2490,0,0,86400
2019-07-11,17452,8312,2490,0,11610,7480,2500,5812,2497,3323,2489,2490,2500,2494,2486,2485,2500,0,0,0,0,0,0,0,2497,0,0,0,0,0,0,0,2496,2487,0,0,86400
2019-07-12,17474,8321,2491,0,11600,7459,2495,5820,2497,3324,2496,2488,2489,2492,2486,2494,2492,0,0,0,0,0,0,0,2493,0,0,0,0,0,0,0,2500,2489,0,0,86400
2019-07-13,17448,8325,2497,0,11628,7475,2494,5811,2500,3324,2483,2495,2490,2490,2483,2490,2491,0,0,0,0,0,0,0,2488,0,0,0,0,0,0,0,2494,2494,0,0,86400
2019-07-14,17469,8316,2488,0,11609,7485,2492,5811,2498,3318,2486,2494,2491,2494,2491,2496,2491,0,0,0,0,0,0,0,2493,0,0,0,0,0,0,0,2494,2484,0,0,86400
2019-07-15,17459,8310,2488,0,11597,7495,2490,5817,2499,3329,2488,2488,2487,2497,2488,2498,2496,0,0,0,0,0,0,0,2488,0,0,0,0,0,0,0,2493,2493,0,0,86400
2019-07-16,17459,8308,2491,0,11617,7493,2490,5814,2497,3329,2492,2496,2492,2490,2490,2486,2487,0,0,0,0,0,0,0,2487,0,0,0,0,0,0,0,2492,2490,0,0,86400
2019-07-17,17460,8293,2486,0,11632,7489,2499,5822,2501,3322,2492,2486,2488,2486,2492,2492,2488,0,0,0,0,0,0,0,2498,0,0,0,0,0,0,0,2489,2485,0,0,86400
2019-07-18,17451,8306,2490,0,11609,7490,2489,5812,2499,3322,2499,2491,2487,2498,2496,2499,2488,0,0,0,0,0,0,0,2489,0,0,0,0,0,0,0,2494,2491,0,0,86400
2019-07-19,17450,8312,2499,0,11608,7478,2486,5824,2494,3329,2490,2491,2487,2497,2484,2496,2487,0,0,0,0,0,0,0,2495,0,0,0,0,0,0,0,2496,2497,0,0,86400
2019-07-20,17460,8313,2493,0,11618,7487,2494,5808,2494,3320,2494,2486,2491,2498,2488,2493,2496,0,0,0,0,0,0,0,2486,0,0,0,0,0,0,0,2488,2493,0,0,86400
2019-07-21,17464,8308,2492,0,11626,7477,2489,5815,2491,3327,2492,2488,2490,2492,2485,2497,2496,0,0,0,0,0,0,0,2494,0,0,0,0,0,0,0,2489,2488,0,0,86400
2019-07-22,17456,8311,2503,0,11607,7476,2493,5814,2496,3325,2487,2496,2485,2493,2500,2500,2489,0,0,0,0,0,0,0,2493,0,0,0,0,0,0,0,2491,2485,0,0,86400
2019-07-23,17437,8306,2487,0,11632,7483,2501,5809,2492,3317,2491,2493,2495,2492,2494,2494,2492,0,0,0,0,0,0,0,2494,0,0,0,0,0,0,0,2495,2496,0,0,86400
